title;start;slurmConfig;copyConfigFrom;cm_CES_lab_eff_factor;path_gdx;path_gdx_ref;climate;cm_nash_autoconverge;cm_budgetCO2_absDevTol;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;cm_budgetCO2from2020;cm_startyear;carbonprice;cm_taxCO2_functionalForm;cm_taxCO2_peakBudgYr;cm_peakBudgYr;cm_taxCO2_regiDiff;cm_taxCO2_regiDiff_startyearValue;cm_taxCO2_IncAfterPeakBudgYr;cm_emiscen;cm_maxProdBiolc;cm_33EW;c_biopyrEstablished;cm_33OAE;cm_33_OAE_limit_EEZ;cm_frac_NetNegEmi;cm_NetNegEmi_calculation;c_ccsinjecratescen;c_changeProdCost;cm_CESMkup_build;cm_CESMkup_ind;cm_wasteIncinerationCCSshare;techpol;regipol;cm_implicitQttyTarget;cm_GDPpopScen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;c_regi_earlyreti_rate;cm_prtpScen;cm_fetaxscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;cm_EDGEtr_scen;description
# Default runs, straight from ScenarioMIP – dropping the SMIP prefixes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi2025_def;1;9;;;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;;;1;;;0;off;0;2005;;;;;;;;;off;1;0;0;;0.5;1;1;;standard;standard;;NPi2025;;off;SSP2;SSP2;medOil;medGas;medCoal;SSP2;GLO 0.09, EUR_regi 0.15;1;3;1;;SSP2;1;0;forcing_SSP2;;;
SSP2-EcPrice300_def;1;9;;;;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;;1;;;0;globallyOptimal;0;2045;functionalForm;linear;300;2100;8;endogenous;;;off;1;0;0;;0.5;1;1;1;standard;standard;2100.GLO 0.5;NPi2025;;off;SSP2;SSP2;medOil;medGas;medCoal;SSP2;GLO 0.09, EUR_regi 0.15;1;3;1;2;SSP2;1;0;forcing_SSP2;;;
SSP2-EcPrice600_def;1;9;;;;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;;1;;rcp26;0;globallyOptimal;0;2030;functionalForm;linear;600;2100;7;EUR 150,(CAZ,USA) 80,JPN 40,NEU 16,REF 5,MEA 50,CHA 15,LAM 40,OAS 30,IND 15,SSA 10;;;200;1;0;0;;0.5;1;1;2;standard;standard;2050.GLO 0.5;NDC;;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;SSP2;SSP2;medOil;medGas;medCoal;SSP2;GLO 0.09, EUR_regi 0.15;1;3;1;2;SSP2;1;0;forcing_SSP2;;Mix3ICEban;
SSP2-EcPrice1300_def;1;9;;;;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;;1;;rcp26;0;globallyOptimal;0;2035;functionalForm;exponential;1300;2100;7;endogenous;;;200;1;0;1;5000;0;1;1;1;standard;standard;2070.GLO 0.9;NPi2025;;off;SSP2;SSP2;medOil;medGas;medCoal;SSP2;GLO 0.09, EUR_regi 0.15;1;3;1;2;SSP2;1;0;forcing_SSP2;;Mix3ICEban;
SMIPv08-H-SSP3-rollBack_def;0;9;;;;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;;1;;;0;off;0;2030;none;;;;;;;0;off;1;0;0;;0.5;1;1;1;standard;standard;;none;;off;SSP3;SSP3;medOil;medGas;highCoal;SSP3;GLO 0.09, EUR_regi 0.15;3;1;0;;SSP3;1.5;0;forcing_SSP3;;Mix1;
SMIPv08-VLLO-SSP1-PkPrice500_def;0;9;;;;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;;1;;rcp20;0;globallyOptimal;0;2030;functionalForm;linear;500;2050;6;EUR 150,(CAZ,NEU,USA,JPN) 80,(REF,MEA) 50,(CHA,LAM) 40,OAS 30,IND 15,SSA 10;5;;90;1;0;0;;0.75;1;5;2;feelhpb 1.4, fehob 0.8, feheb 0.15;Elec_Push;2050.GLO 0.9;NDC;;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;SSP1;SSP1;lowOil;lowGas;lowCoal;SSP1;GLO 0.12, EUR_regi 0.15;1;2;4;2;SSP1;1;0;forcing_SSP1;SMIPVLLO;Mix4ICEban;
SSP2-rollBack_def;0;9;SMIPv08-H-SSP3-rollBack_def;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SSP2;SSP2;medOil;medGas;medCoal;SSP2;GLO 0.09, EUR_regi 0.15;1;1;1;;SSP2;1;;forcing_SSP2;;;
SSP2-PkPrice500_def;0;9;SMIPv08-VLLO-SSP1-PkPrice500_def;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SSP2;SSP2;medOil;medGas;medCoal;SSP2;GLO 0.09, EUR_regi 0.15;1;2;1;;SSP2;1;;forcing_SSP2;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
